task,k_shot,seed,repeat,feature_mode,src_tail_weight,hash_disjoint,group_disjoint,target_available_after_hash_class0,target_available_after_hash_class1,target_excluded_hash_overlap_class0,target_excluded_hash_overlap_class1,support_count,query_count,query_count_class0,query_count_class1,support_groups,query_groups,hash_drop_side,hash_drop_side_requested,source_initial_count,source_after_hash_count,target_source_hash_overlap_raw,method,acc,f1,auc,pd_at_pfa_0.05,pd_at_pfa_0.01,pd_tc,pfa_tc,threshold_tc
open+speedboat->uuv,20,2026,5,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,28,89,source,source,15948,11537,2695,CE-Proto,0.572,0.599250936329588,0.639424,0.178,0.08,,,
open+speedboat->uuv,20,2026,5,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,28,89,source,source,15948,11537,2695,CE-LinearHead,0.812,0.821969696969697,0.8848679999999999,0.49,0.202,,,
open+speedboat->uuv,20,2026,5,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,28,89,source,source,15948,11537,2695,CosMetricHead,0.765,0.7793427230046949,0.842616,0.392,0.114,,,
open+speedboat->uuv,20,2026,5,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,28,89,source,source,15948,11537,2695,RegMahaProxy-TC,0.772,0.8057921635434412,0.9066279999999999,0.606,0.338,0.946,0.402,1.0737773895263683
open+speedboat->uuv,20,2026,6,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,24,83,source,source,15948,11537,2695,CE-Proto,0.603,0.63544536271809,0.6945520000000001,0.23,0.078,,,
open+speedboat->uuv,20,2026,6,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,24,83,source,source,15948,11537,2695,CE-LinearHead,0.817,0.8278457196613358,0.902652,0.54,0.33,,,
open+speedboat->uuv,20,2026,6,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,24,83,source,source,15948,11537,2695,CosMetricHead,0.771,0.7703109327983951,0.8545440000000001,0.398,0.192,,,
open+speedboat->uuv,20,2026,6,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,24,83,source,source,15948,11537,2695,RegMahaProxy-TC,0.811,0.8016789087093389,0.9092119999999999,0.592,0.378,0.764,0.142,-0.7290147781372068
open+speedboat->uuv,20,2026,7,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,24,85,source,source,15948,11537,2695,CE-Proto,0.503,0.4773922187171398,0.6167880000000001,0.342,0.252,,,
open+speedboat->uuv,20,2026,7,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,24,85,source,source,15948,11537,2695,CE-LinearHead,0.8,0.7767857142857143,0.896328,0.576,0.416,,,
open+speedboat->uuv,20,2026,7,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,24,85,source,source,15948,11537,2695,CosMetricHead,0.758,0.7199074074074074,0.839396,0.478,0.304,,,
open+speedboat->uuv,20,2026,7,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,24,85,source,source,15948,11537,2695,RegMahaProxy-TC,0.812,0.8192307692307692,0.897704,0.638,0.452,0.852,0.228,-7.671898651123047
open+speedboat->uuv,20,2026,8,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,27,87,source,source,15948,11537,2695,CE-Proto,0.568,0.5885714285714285,0.617148,0.082,0.01,,,
open+speedboat->uuv,20,2026,8,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,27,87,source,source,15948,11537,2695,CE-LinearHead,0.764,0.768172888015717,0.8410200000000001,0.446,0.236,,,
open+speedboat->uuv,20,2026,8,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,27,87,source,source,15948,11537,2695,CosMetricHead,0.736,0.76,0.8181200000000001,0.31,0.182,,,
open+speedboat->uuv,20,2026,8,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,27,87,source,source,15948,11537,2695,RegMahaProxy-TC,0.744,0.7602996254681648,0.834752,0.44,0.248,0.812,0.324,-4.613691711425781
